Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Artists,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros
"Aarakocra Sneak","Blue","{3}{U}","4","C","(Commander Legends: Battle for Baldur's Gate)","Creature — Bird Rogue","1","4","""Flying
When Aarakocra Sneak enters the battlefield, you take the initiative.""","0","Andrea Radeck","""• The initiative is a designation a player can have. A player with the initiative designation is said to “have the initiative.” The initiative carries two inherent rules. First, whenever a player takes the initiative, and at the beginning of the upkeep of the player with the initiative, that player ventures into Undercity. Second, whenever one or more creatures a player controls deal combat damage to the player who has the initiative, the first player takes the initiative. Also, some abilities will refer to having the initiative and provide other benefits.
• There is no initiative in a game until an effect instructs a player to take the initiative. Once a player is instructed to do this, they have the initiative until another player takes the initiative.
• Only one player can have the initiative at a time. As one player takes the initiative, any other player that had the initiative ceases to have it.
• A player who currently has the initiative may take the initiative again. This causes that player to venture into Undercity again, but does not cause them to have multiple initiative designations.
• If the player with the initiative leaves the game, the active player takes the initiative at the same time that player leaves the game. If the active player is leaving the game or if there is no active player, the next player in turn order takes the initiative.
• In a Two-Headed Giant game, if both players on a team deal combat damage to the player that has the initiative at the same time, the player with the initiative will choose the order of the triggered abilities. Then, as those abilities resolve, one team member takes the initiative (and ventures into Undercity) and then the other team member does the same. The last player to take the initiative keeps it until the initiative changes again.
• You cannot venture into Undercity unless instructed to do so, either because you have the initiative at the beginning of your upkeep or because you take the initiative. Notably, if you aren’t in a dungeon and an effect instructs you to venture into the dungeon (not venture into Undercity), you can’t start Undercity.
• Similarly, when instructed to venture into Undercity, you can’t start a dungeon that isn’t Undercity.
• If you aren’t in a dungeon when instructed to venture into Undercity, you will put Undercity into the command zone and move your venture marker to Secret Entrance (the first room).
• If you’re already in a dungeon when instructed to venture into Undercity, you move to the next room of that dungeon. If you are already in the last room, you will complete that dungeon and start Undercity. This is true whether you’re already in Undercity or any other dungeon.""","658454","54","","2023-Feb-02_03:07:14","USD","2484","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","CLBG 1/30/23","0","562937","2","$0.20","$0.40","2","2x","","2a83882c-3e03-4e85-aaac-97fa1d08a772","272557","","0"
"Abdel Adrian, Gorion's Ward","White","{4}{W}","5","U","(Commander Legends: Battle for Baldur's Gate)","Legendary Creature — Human Warrior","4","4","""When Abdel Adrian, Gorion's Ward enters the battlefield, exile any number of other nonland permanents you control until Abdel Adrian leaves the battlefield. Create a 1/1 white Soldier creature token for each permanent exiled this way.
Choose a Background (You can have a Background as a second commander.)""","0","Phil Stone","""""","659060","375","","2023-May-17_15:53:05","USD","5528","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Showcase","Not Using","Have","","","CLBG 1/30/23","0","570248","1","$0.20","$0.20","1","1x","","4857125b-bd0f-4f09-9d6c-56544834a359","272556","","0"
"Ambitious Dragonborn","Green","{3}{G}","4","C","(Commander Legends: Battle for Baldur's Gate)","Creature — Dragon Barbarian","0","0","""Ambitious Dragonborn enters the battlefield with X +1/+1 counters on it, where X is the greatest power among creatures you control and creature cards in your graveyard.""","0","Gaboleps","""• Ambitious Dragonborn is not yet on the battlefield when its effect looks for the creature or creature card with the greatest power, so any creatures that have a bonus to their power based on the number of creatures on the battlefield won't count it until after it enters with counters.""","660902","213","","2023-Feb-05_02:02:18","USD","2761","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","CLBG 1/30/23","0","563096","2","$0.19","$0.38","2","2x","","5e56a516-d71a-49c4-a929-9a8973125d3c","273296","","0"
"Arcane Encyclopedia","","{3}","3","U","(Commander Legends: Battle for Baldur's Gate)","Artifact","0","0","""{3}, {T}: Draw a card.""","0","Victor Harmatiuk","""""","659876","297","","2023-Jan-30_21:34:06","USD","2057","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","CLBG 1/30/23","0","563180","1","$0.18","$0.18","1","1x","","00ff4cb8-a0e0-4527-a77d-03394065ffe0","272904","","0"
"Arcane Signet","","{2}","2","U","(Commander Legends: Battle for Baldur's Gate)","Artifact","0","0","""{T}: Add one mana of any color in your commander's color identity.""","0","Sam White","""• If you have two commanders, the ability adds one mana of any color in their combined color identities.
• If your commander is a card that has no colors in its color identity, Arcane Signet's ability produces no mana. It doesn't produce {C}.
• If you don't have a commander, Arcane Signet's ability produces no mana.""","658512","298","","2023-Jan-30_21:33:50","USD","2046","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Using","Have","","","CLBG 1/30/23","0","563181","1","$0.99","$0.99","1","1x","","5b245a5b-5a99-4d22-99ef-3f5bf49c3262","272582","","0"
"Armor of Shadows","Black","{B}","1","C","(Commander Legends: Battle for Baldur's Gate)","Instant","0","0","""Until end of turn, target creature gets +1/+0 and gains indestructible. (Damage and effects that say ""destroy"" don't destroy it.)""","0","Craig J Spearing","""""","660868","112","","2023-Jan-31_13:13:03","USD","2132","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","CLBG 1/30/23","0","562995","2","$0.18","$0.36","2","2x","","32f5d5be-777f-4e7b-b18c-ce4a9cedb7d0","273392","","0"
"Arms of Hadar","Black","{3}{B}","4","C","(Commander Legends: Battle for Baldur's Gate)","Sorcery","0","0","""Creatures target player controls get -2/-2 until end of turn.""","0","Mirko Failoni","""""","660869","113","","2023-Jan-31_13:14:41","USD","2151","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","CLBG 1/30/23","0","562996","2","$0.25","$0.50","2","2x","","db1fd431-8f6d-4ca5-bc0c-53881c500da1","273393","","0"
"Astral Confrontation","White","{4}{W}","5","C","(Commander Legends: Battle for Baldur's Gate)","Instant","0","0","""This spell costs {1} less to cast for each opponent you're attacking.
Exile target creature.""","0","Ben Hill","""""","658446","6","","2023-Feb-05_01:46:24","USD","2717","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","CLBG 1/30/23","0","562889","2","$0.13","$0.26","2","2x","","eefe66d8-1b35-49f1-9bc0-74c5861e5abf","272545","","0"
"Atrocious Experiment","Black","{2}{B}","3","C","(Commander Legends: Battle for Baldur's Gate)","Sorcery","0","0","""Target player mills two cards, draws two cards, and loses 2 life. (To mill a card, a player puts the top card of their library into their graveyard.)""","0","SUZHIHUI","""""","660870","115","","2023-Jan-31_13:12:53","USD","2126","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","CLBG 1/30/23","0","562998","3","$0.20","$0.60","3","3x","","e6098b4a-a92f-4477-8122-5913ac9247f8","273394","","0"
"Avenging Hunter","Green","{4}{G}","5","C","(Commander Legends: Battle for Baldur's Gate)","Creature — Dragon Ranger","5","4","""Trample
When Avenging Hunter enters the battlefield, you take the initiative.""","0","Borja Pindado","""• The initiative is a designation a player can have. A player with the initiative designation is said to “have the initiative.” The initiative carries two inherent rules. First, whenever a player takes the initiative, and at the beginning of the upkeep of the player with the initiative, that player ventures into Undercity. Second, whenever one or more creatures a player controls deal combat damage to the player who has the initiative, the first player takes the initiative. Also, some abilities will refer to having the initiative and provide other benefits.
• There is no initiative in a game until an effect instructs a player to take the initiative. Once a player is instructed to do this, they have the initiative until another player takes the initiative.
• Only one player can have the initiative at a time. As one player takes the initiative, any other player that had the initiative ceases to have it.
• A player who currently has the initiative may take the initiative again. This causes that player to venture into Undercity again, but does not cause them to have multiple initiative designations.
• If the player with the initiative leaves the game, the active player takes the initiative at the same time that player leaves the game. If the active player is leaving the game or if there is no active player, the next player in turn order takes the initiative.
• In a Two-Headed Giant game, if both players on a team deal combat damage to the player that has the initiative at the same time, the player with the initiative will choose the order of the triggered abilities. Then, as those abilities resolve, one team member takes the initiative (and ventures into Undercity) and then the other team member does the same. The last player to take the initiative keeps it until the initiative changes again.
• You cannot venture into Undercity unless instructed to do so, either because you have the initiative at the beginning of your upkeep or because you take the initiative. Notably, if you aren’t in a dungeon and an effect instructs you to venture into the dungeon (not venture into Undercity), you can’t start Undercity.
• Similarly, when instructed to venture into Undercity, you can’t start a dungeon that isn’t Undercity.
• If you aren’t in a dungeon when instructed to venture into Undercity, you will put Undercity into the command zone and move your venture marker to Secret Entrance (the first room).
• If you’re already in a dungeon when instructed to venture into Undercity, you move to the next room of that dungeon. If you are already in the last room, you will complete that dungeon and start Undercity. This is true whether you’re already in Undercity or any other dungeon.""","659226","215","","2023-Feb-05_02:02:46","USD","2762","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","CLBG 1/30/23","0","563098","2","$0.28","$0.56","2","2x","","f4072640-0f9b-4f0a-84cc-eda415cc92e7","272747","","0"
