Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Artists,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros
"Alaundo the Seer","Blue/Green","{2}{G}{U}","4","R","(Commander Legends: Battle for Baldur's Gate)","Legendary Creature — Human Shaman","3","5","""{T}: Draw a card, then exile a card from your hand and put a number of time counters on it equal to its mana value. It gains ""When the last time counter is removed from this card, if it's exiled, you may cast it without paying its mana cost. If you cast a creature spell this way, it gains haste until end of turn."" Then remove a time counter from each other card you own in exile.""","0","Aurore Folny","""• Alaundo's ability is not the same as the suspend ability. However, if you exile a card with suspend this way, the suspend ability will also cause you to remove time counters from it.
• Alaundo's ability will remove time counters from all cards you own in exile, even ones that were put there another way, such as with the suspend ability.
• If you exile a card with a mana value of 0, such as a land card, no time counters will be placed on it. Unless you find a way to put time counters on it in exile, the triggered ability it gains from Alaundo will never trigger.""","659227","264","","2022-Jul-17_03:29:26","USD","46","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","Commander Legends 2","0","563147","1","$0.25","$0.25","1","1x","","b22c33bb-47fe-4334-9105-00f4b87811bd","272744","","0"
"Ancient Bronze Dragon","Green","{5}{G}{G}","7","M","(Commander Legends: Battle for Baldur's Gate)","Creature — Elder Dragon","7","7","""Flying
Whenever Ancient Bronze Dragon deals combat damage to a player, roll a d20. When you do, put X +1/+1 counters on each of up to two target creatures, where X is the result.""","0","Johan Grenier","""""","660903","214","","2022-Jul-17_03:06:49","USD","2","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","Foil","1","foil","Regular","Not Using","Have","","","Commander Legends 2","0","563097","0","$9.50","$9.50","1","1x","","781af4dd-9e3c-48af-80e9-b52c427d2120","273301","","0"
"Ancient Bronze Dragon","Green","{5}{G}{G}","7","M","(Commander Legends: Battle for Baldur's Gate)","Creature — Elder Dragon","7","7","""Flying
Whenever Ancient Bronze Dragon deals combat damage to a player, roll a d20. When you do, put X +1/+1 counters on each of up to two target creatures, where X is the result.""","0","Johan Grenier","""""","660903","214","","2022-Jul-17_03:07:31","USD","3","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","Commander Legends 2","0","563097","1","$9.00","$9.00","1","1x","","781af4dd-9e3c-48af-80e9-b52c427d2120","273301","","0"
"Ancient Copper Dragon","Red","{4}{R}{R}","6","M","(Commander Legends: Battle for Baldur's Gate)","Creature — Elder Dragon","6","5","""Flying
Whenever Ancient Copper Dragon deals combat damage to a player, roll a d20. You create a number of Treasure tokens equal to the result.""","0","Antonio José Manzanedo","""""","660272","161","","2022-Jul-17_03:06:16","USD","1","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","Commander Legends 2","0","563044","1","$57.87","$57.87","1","1x","","3836dddd-a7e4-499f-ad49-ce298aa65720","273001","","0"
"Archivist of Oghma","White","{1}{W}","2","R","(Commander Legends: Battle for Baldur's Gate)","Creature — Halfling Cleric","2","2","""Flash
Whenever an opponent searches their library, you gain 1 life and draw a card.""","0","Stella Spente","""• Archivist of Oghma's triggered ability won't be put onto the stack until after the spell or ability causing the opponent to search their library finishes resolving. Notably, if that spell or ability causes any other abilities to trigger (for example, if the opponent searched for a card and put it onto the battlefield), those abilities and Archivist of Oghma's triggered ability will go on the stack at the same time. The active player puts all their abilities on the stack in any order, then each other player in turn order does the same. The last ability put onto the stack this way resolves first, and so on.
• Archivist of Oghma's triggered ability won't trigger if you search an opponent's library or an opponent searches another player's library.""","660706","4","","2022-Jul-17_03:08:32","USD","5","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","Commander Legends 2","0","562887","1","$7.62","$7.62","1","1x","","f6589e02-8c84-4069-88d1-ebcc8520cae1","272914","","0"
"Ascend from Avernus","White","{X}{W}{W}{W}","3","R","(Commander Legends: Battle for Baldur's Gate)","Sorcery","0","0","""Return all creature and planeswalker cards with mana value X or less from your graveyard to the battlefield. Exile Ascend from Avernus.""","0","Bruce Brenneise","""""","660707","5","","2022-Jul-17_03:27:55","USD","44","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","Commander Legends 2","0","562888","1","$0.99","$0.99","1","1x","","6b26c05b-f166-40ab-9693-2129b4bf75e9","272915","","0"
"Baba Lysaga, Night Witch","Black/Green","{1}{B}{G}","3","R","(Commander Legends: Battle for Baldur's Gate)","Legendary Creature — Human Warlock","3","3","""{T}, Sacrifice up to three permanents: If there were three or more card types among the sacrificed permanents, each opponent loses 3 life, you gain 3 life, and you draw three cards.""","0","Mark A. Nelson","""• You may sacrifice permanents that aren't different card types to pay the cost of Baba Lysaga's activated ability, but if you do, it will have no effect.
• Check the types of those permanents as they last existed on the battlefield to see if there were three or more card types among the sacrificed permanents.""","659080","414","","2022-Jul-17_03:17:44","USD","22","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Showcase","Not Using","Have","","","Commander Legends 2","0","570287","1","$0.34","$0.34","1","1x","","89f293aa-dca1-48c2-9f48-069d32b89f3b","272630","","0"
"Barroom Brawl","Green","{1}{G}","2","R","(Commander Legends: Battle for Baldur's Gate)","Sorcery","0","0","""Target creature you control fights target creature the opponent to your left controls. Then that player may copy this spell and may choose new targets for the copy.""","0","Craig J Spearing","""• Each copy of Barroom Brawl also includes the opportunity to create a copy, so as long as there are legal targets available and the copies keep successfully resolving, the brawl can continue.
• The opponent to your left may choose the creature they control that was part of the original fight as the first target for their copy, even if it would die after the original spell is done resolving. If it does die, however, it will be an illegal target as the copy tries to resolve.
• If one target is legal and the other is not legal as Barroom Brawl resolves, neither creature will deal damage. However, the opponent to your left may still choose to copy Barroom Brawl.
• If both targets are illegal as Barroom Brawl attempts to resolve, it does nothing. No copy will be created.
• In a two-player game, the other player is the opponent to your left.
• If the opponent to your left chooses to copy Barroom Brawl but not change its targets, both targets will probably be illegal as the copy tries to resolve (at a minimum, both targets would have to survive and switch controllers in response to still be legal targets for the copy), and the player to their left will not be able to copy it.""","660905","217","","2022-Jul-17_03:17:46","USD","23","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","Commander Legends 2","0","563100","1","$0.30","$0.30","1","1x","","0452a08e-1a04-432f-9c35-11699d7d44fe","273308","","0"
"Bhaal, Lord of Murder","Black/Red/Green","{2}{B}{R}{G}","5","R","(Commander Legends: Battle for Baldur's Gate)","Legendary Creature — God","4","4","""As long as your life total is less than or equal to half your starting life total, Bhaal, Lord of Murder has indestructible.
Whenever another nontoken creature you control dies, put a +1/+1 counter on target creature and goad it.""","0","Justine Jones","""• If Bhaal, Lord of Murder is dealt lethal damage at the same time that its controller's life total is reduced to less than or equal to half their starting life total, Bhaal will have indestructible at the time state-based actions are performed and survive.""","659081","416","","2022-Jul-17_03:24:29","USD","35","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Showcase","Not Using","Have","","","Commander Legends 2","0","570289","1","$0.30","$0.30","1","1x","","2fef6465-987c-461b-8177-b6b7332bbe4e","272647","","0"
"Call to the Void","Black","{4}{B}","5","R","(Commander Legends: Battle for Baldur's Gate)","Sorcery","0","0","""Each player secretly chooses a creature they control and a creature they don't control. Then those choices are revealed. Destroy each creature chosen this way.""","0","Liiga Smilshkalne","""• For each player to secretly choose the creatures, that player should write down their choices without showing them to anyone else. Each player then keeps their choices secret until all players simultaneously reveal their choices.
• If a creature is chosen more than once, it is destroyed only once. For example, having a single shield counter on it would allow it to survive.""","659847","118","","2022-Jul-17_03:27:53","USD","43","Commander Legends: Battle for Baldur's Gate","(CLB)","(clb)","CLB","[CLB]","[clb]","CLB","clb","","0","","Regular","Not Using","Have","","","Commander Legends 2","0","563001","1","$0.25","$0.25","1","1x","","6836cfea-c203-49f4-b8d1-f1e8aa790db5","272920","","0"
