Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Artists,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros
"Abnormal Endurance","Black","{1}{B}","2","C","(Core Set 2019)","Instant","0","0","""Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""""","0","Tomasz Jedruszek","""• Abnormal Endurance’s effect works only once. If the targeted creature dies and is then returned to the battlefield, it’s considered to be a new creature. If that new creature dies, it won’t come back.""","359841","85","","2023-Jan-31_15:24:34","USD","2196","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447221","4","$0.25","$1.00","4","4x","","de2de2bd-9ba7-4b6f-94c2-dafb2011a48e","168592","","0"
"Act of Treason","Red","{2}{R}","3","C","(Core Set 2019)","Sorcery","0","0","""Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and {T} this turn.)""","0","Eric Deschamps","""• Act of Treason can target any creature, even one that’s untapped or one you already control.
• Gaining control of a creature doesn’t cause you to gain control of any Auras or Equipment attached to it.""","359848","127","","2023-Feb-05_04:32:28","USD","2801","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447263","4","$0.20","$0.80","4","4x","","9160dde8-cd77-4967-a5f3-a676376c58f7","166699","","0"
"Aegis of the Heavens","White","{1}{W}","2","U","(Core Set 2019)","Instant","0","0","""Target creature gets +1/+7 until end of turn.""","0","Anthony Palumbo","""""","360318","1","","2023-May-14_03:44:53","USD","5431","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447137","2","$0.25","$0.50","2","2x","","0503c55d-74bb-4165-9273-127c01bb2214","169279","","0"
"Aethershield Artificer","White","{3}{W}","4","U","(Core Set 2019)","Creature — Dwarf Artificer","3","3","""At the beginning of combat on your turn, target artifact creature you control gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)""","0","Izzy","""""","360317","2","","2023-May-14_03:45:37","USD","5432","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447138","1","$0.25","$0.25","1","1x","","226f7c45-db9f-4d48-b575-4d2f1904c963","169280","","0"
"Ajani's Welcome","White","{W}","1","U","(Core Set 2019)","Enchantment","0","0","""Whenever a creature enters the battlefield under your control, you gain 1 life.""","0","Eric Deschamps","""""","360024","6","","2023-May-14_03:45:50","USD","5433","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447142","1","$2.13","$2.13","1","1x","","c9045fcb-b633-4c35-8058-6234311551ae","169106","","0"
"Angel of the Dawn","White","{4}{W}","5","C","(Core Set 2019)","Creature — Angel","3","3","""Flying
When Angel of the Dawn enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.""","0","Livia Prima","""• Angel of the Dawn's triggered ability affects only creatures you control at the time it resolves. Creatures you begin to control later in the turn won't get +1/+1 or gain vigilance.""","360316","7","","2023-Feb-05_02:21:10","USD","2782","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447143","5","$0.20","$1.00","5","5x","","f4bae0e4-1143-4dc4-afb1-e6b4201ff101","169281","","0"
"Anticipate","Blue","{1}{U}","2","C","(Core Set 2019)","Instant","0","0","""Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.""","0","Tyler Jacobson","""""","360309","44","","2023-Feb-02_04:23:41","USD","2563","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447180","3","$0.20","$0.60","3","3x","","a07b1d89-1e6a-4e95-be89-1f03182fc470","166700","","0"
"Arcane Encyclopedia","","{3}","3","U","(Core Set 2019)","Artifact","0","0","""{3}, {T}: Draw a card.""","0","Nic Klein","""""","360226","227","","2023-Jan-30_21:30:35","USD","2034","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447364","2","$0.25","$0.50","2","2x","","0ce4702d-f65b-413e-99da-112f632a0a63","169317","","0"
"Aven Wind Mage","Blue","{2}{U}","3","C","(Core Set 2019)","Creature — Bird Wizard","2","2","""Flying
Whenever you cast an instant or sorcery spell, Aven Wind Mage gets +1/+1 until end of turn.""","0","Lius Lasahido","""• Aven Wind Mage’s triggered ability resolves before the spell that caused it to trigger. It resolves even if that spell is countered.""","359596","45","","2023-Feb-02_04:23:39","USD","2562","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447181","2","$0.19","$0.38","2","2x","","1b12dfc1-81f2-44b2-baa2-73cc21363978","168448","","0"
"Aviation Pioneer","Blue","{2}{U}","3","C","(Core Set 2019)","Creature — Human Artificer","1","2","""When Aviation Pioneer enters the battlefield, create a 1/1 colorless Thopter artifact creature token with flying.""","0","Lake Hurwitz","""""","360308","46","","2023-Feb-02_04:23:43","USD","2564","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447182","4","$0.20","$0.80","4","4x","","e6966738-b4fc-4854-81b0-09de305854f2","169466","","0"
"Boggart Brute","Red","{2}{R}","3","C","(Core Set 2019)","Creature — Goblin Warrior","3","2","""Menace (This creature can't be blocked except by two or more creatures.)""","0","Igor Kieryluk","""• Once an attacking creature with menace is legally blocked by two or more creatures, removing one or more of those blockers from combat won’t change or undo that block.""","360292","131","","2023-Feb-05_04:33:07","USD","2802","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447267","3","$0.20","$0.60","3","3x","","32b7438d-e905-4627-9299-e2224377c8e7","169295","","0"
"Bogstomper","Black","{4}{B}{B}","6","C","(Core Set 2019)","Creature — Beast","6","5","""""","0","Jason Felix","""""","359604","87","","2023-Jan-31_15:24:54","USD","2197","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447223","4","$0.18","$0.72","4","4x","","05145a8d-0bfb-4f07-87cf-65875310bdb4","168458","","0"
"Bristling Boar","Green","{3}{G}","4","C","(Core Set 2019)","Creature — Boar","4","3","""Bristling Boar can't be blocked by more than one creature.""","0","Svetlin Velinov","""• If Bristling Boar gains menace, it can’t be blocked at all.""","359627","170","","2023-Feb-05_04:47:24","USD","2819","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2019 1/30/23","0","447306","4","$0.16","$0.64","4","4x","","999030b2-2f91-4c45-981f-acdbbf9034af","168479","","0"
