Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Artists,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros
"Aerial Assault","White","{2}{W}","3","C","(Core Set 2020)","Sorcery","0","0","""Destroy target tapped creature. You gain 1 life for each creature you control with flying.""","0","Dan Scott","""• If the target creature is an illegal target by the time Aerial Assault tries to resolve, the spell doesn’t resolve. You won’t gain life. If the target is legal but is not destroyed (most likely because it has indestructible), you will gain life.
• Any abilities that trigger as the target creature is destroyed won’t resolve until after you’ve gained life.
• If any creatures were exiled “until” the target creature left the battlefield, those creatures will return before you gain life.""","378822","1","","2023-Mar-12_01:49:17","USD","4630","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466755","1","$0.18","$0.18","1","1x","","64d9c182-cbb3-4791-90dd-0e533ddeebda","192645","","0"
"Audacious Thief","Black","{2}{B}","3","C","(Core Set 2020)","Creature — Human Rogue","2","2","""Whenever Audacious Thief attacks, you draw a card and you lose 1 life.""","0","Dmitry Burmak","""""","379245","84","","2023-Mar-12_02:08:47","USD","4653","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466838","1","$0.25","$0.25","1","1x","","e1ff5e66-4718-43c3-8a58-1a0a8e788f83","192778","","0"
"Bloodfell Caves","Land","","0","C","(Core Set 2020)","Land","0","0","""Bloodfell Caves enters the battlefield tapped.
When Bloodfell Caves enters the battlefield, you gain 1 life.
{T}: Add {B} or {R}.""","0","Adam Paquette","""""","378963","242","","2023-Mar-12_02:10:27","USD","4658","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466996","1","$0.24","$0.24","1","1x","","9b7ec5a3-3c40-4090-b9e3-11fb5b06fb8f","192680","","0"
"Boreal Elemental","Blue","{4}{U}","5","C","(Core Set 2020)","Creature — Elemental","3","4","""Flying
Spells your opponents cast that target Boreal Elemental cost {2} more to cast.""","0","Victor Adame Minguez","""• To determine the total cost of a spell, start with the mana cost or alternative cost you’re paying, add any cost increases (such as that of Boreal Elemental), then apply any cost reductions. The mana value of the spell remains unchanged, no matter what the total cost to cast it was.
• An opponent’s spell that targets Boreal Elemental more than once costs only {2} more to cast.""","379425","49","","2023-Mar-12_01:55:03","USD","4635","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466803","1","$0.17","$0.17","1","1x","","47996512-d547-491f-b481-a9c83dff04db","192868","","0"
"Chandra's Embercat","Red","{1}{R}","2","C","(Core Set 2020)","Creature — Elemental Cat","2","2","""{T}: Add {R}. Spend this mana only to cast an Elemental spell or a Chandra planeswalker spell.""","0","Johan Grenier","""• A Chandra planeswalker spell is a planeswalker spell with the subtype Chandra. Cards that use Chandra’s name in their title or her likeness in their illustration (such as Chandra’s Regulator or Chandra’s Outrage) aren’t Chandra planeswalker spells.""","378252","129","","2023-Mar-12_02:05:46","USD","4647","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466883","2","$0.23","$0.46","2","2x","","30f9c266-f32e-4483-9709-f83675331688","192515","","0"
"Cloudkin Seer","Blue","{2}{U}","3","C","(Core Set 2020)","Creature — Elemental Wizard","2","1","""Flying
When Cloudkin Seer enters the battlefield, draw a card.""","0","Anastasia Ovchinnikova","""""","378945","54","","2023-Mar-12_01:55:07","USD","4636","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466808","2","$0.25","$0.50","2","2x","","e2111753-a930-403f-9d94-a86dfcb069da","192686","","0"
"Convolute","Blue","{2}{U}","3","C","(Core Set 2020)","Instant","0","0","""Counter target spell unless its controller pays {4}.""","0","Viktor Titov","""""","378597","55","","2023-Mar-12_01:55:22","USD","4637","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466809","1","$0.17","$0.17","1","1x","","b8a68347-c0ef-46ff-9705-6d82d004d32c","192555","","0"
"Disenchant","White","{1}{W}","2","C","(Core Set 2020)","Instant","0","0","""Destroy target artifact or enchantment.""","0","Victor Adame Minguez","""• This is not modal. If the target changes from an artifact to an enchantment or vice versa, this still destroys it.""","378345","14","","2023-Mar-12_01:49:24","USD","4631","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Using","Have","","","Core set 2020 (1/31/23)","0","466768","1","$0.25","$0.25","1","1x","","1b6a2b01-da95-46fa-8673-30ffdfdee0a5","192533","","0"
"Duress","Black","{B}","1","C","(Core Set 2020)","Sorcery","0","0","""Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.""","0","Steven Belledin","""""","379461","97","","2023-Mar-12_02:18:04","USD","4666","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466851","1","$0.20","$0.20","1","1x","","bb41ff5c-9617-4033-a4fa-99323640b9c3","192877","","0"
"Feral Abomination","Black","{5}{B}","6","C","(Core Set 2020)","Creature — Thrull","5","5","""Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)""","0","Darek Zabrocki","""""","379470","101","","2023-Mar-12_02:05:15","USD","4644","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466855","1","$0.18","$0.18","1","1x","","b2890cb5-7899-42f4-9686-a8b5ac796c23","192881","","0"
"Forest","Land","","0","C","(Core Set 2019)","Basic Land — Forest","0","0","""({T}: Add {G}.)""","0","Volkan Baǵa","""""","360253","277","","2023-Mar-12_02:11:51","USD","4660","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","447414","1","$0.24","$0.24","1","1x","","b52ff177-bafe-4e0a-a6c3-2cf012b1319f","169357","","0"
"Forest","Land","","0","C","(Core Set 2019)","Basic Land — Forest","0","0","""({T}: Add {G}.)""","0","Adam Paquette","""""","360250","280","","2023-Mar-12_02:16:18","USD","4663","Core Set 2019","(M19)","(m19)","M19","[M19]","[m19]","M19","m19","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","447417","4","$0.20","$0.80","4","4x","","ea3cc8ba-ab54-46d3-9c3a-91678fd8d381","169360","","0"
"Forest","Land","","0","C","(Core Set 2020)","Basic Land — Forest","0","0","""({T}: Add {G}.)""","0","Steven Belledin","""""","379650","278","","2023-Mar-12_02:13:52","USD","4661","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","467032","4","$0.20","$0.80","4","4x","","00feb2af-b363-4377-98b1-6a07df7f1acd","192848","","0"
"Forest","Land","","0","C","(Core Set 2020)","Basic Land — Forest","0","0","""({T}: Add {G}.)""","0","Jim Nelson","""""","379653","279","","2023-Mar-12_02:15:29","USD","4662","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","467033","2","$0.20","$0.40","2","2x","","56caba21-b773-4245-b3f8-3ae62725c14f","192849","","0"
"Frost Lynx","Blue","{2}{U}","3","C","(Core Set 2020)","Creature — Elemental Cat","2","2","""When Frost Lynx enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.""","0","Izzy","""• Frost Lynx’s triggered ability can target a creature that’s already tapped. That creature won’t untap during its controller’s next untap step.""","378810","62","","2023-Mar-12_01:55:26","USD","4638","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466816","2","$0.15","$0.30","2","2x","","64e1a5af-442f-4fcf-be99-6f62176be36c","192648","","0"
"Gift of Paradise","Green","{2}{G}","3","C","(Core Set 2020)","Enchantment — Aura","0","0","""Enchant land
When Gift of Paradise enters the battlefield, you gain 3 life.
Enchanted land has ""{T}: Add two mana of any one color.""""","0","Ryan Pancoast","""• If the target land is an illegal target by the time Gift of Paradise tries to resolve, it doesn’t resolve. It won’t enter the battlefield, so its enters-the-battlefield ability won’t trigger.""","379539","173","","2023-Mar-12_02:07:42","USD","4652","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466927","2","$0.23","$0.46","2","2x","","d6b4e2b7-2687-4ad1-99e4-0f8411b5f50d","192905","","0"
"Herald of the Sun","White","{4}{W}{W}","6","U","(Core Set 2020)","Creature — Angel","4","4","""Flying
{3}{W}: Put a +1/+1 counter on another target creature with flying.""","0","Micah Epstein","""""","378759","23","","2023-May-14_03:47:27","USD","5439","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466777","1","$0.25","$0.25","1","1x","","9c62f724-7fb4-4498-b5c1-cf65d86d8e95","192639","","0"
"Infuriate","Red","{R}","1","C","(Core Set 2020)","Instant","0","0","""Target creature gets +3/+2 until end of turn.""","0","Caio Monteiro","""""","378354","145","","2023-Mar-12_02:06:50","USD","4648","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","466899","1","$0.20","$0.20","1","1x","","7ac778f6-8997-47ee-a676-3eb9f8d1592f","192538","","0"
"Island","Land","","0","C","(Core Set 2020)","Basic Land — Island","0","0","""({T}: Add {U}.)""","0","John Avon","""""","379611","265","","2023-Mar-12_02:16:50","USD","4664","Core Set 2020","(M20)","(m20)","M20","[M20]","[m20]","M20","m20","","0","","Regular","Not Using","Have","","","Core set 2020 (1/31/23)","0","467019","3","$0.56","$1.68","3","3x","","fe7f4393-38f9-43b5-873b-58246183b874","192832","","0"
