Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Artists,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros
"Aquamoeba","Blue","{1}{U}","2","C","(Dominaria Remastered)","Creature — Elemental Beast","1","3","""Discard a card: Switch Aquamoeba's power and toughness until end of turn.""","0","Arnie Swekel","""• Effects that switch a creature's power and toughness apply after all other effects, regardless of when those effects began to apply. For instance, if you target a 1/2 creature then give it +2/+0 later in the turn, it's a 2/3 creature, not a 4/1 creature.
• Because damage remains marked on a creature until the damage is removed as the turn ends, nonlethal damage dealt to a creature may become lethal if you switch its power and toughness during that turn.
• Switching a creature's power and toughness twice (or any even number of times) effectively returns the creature to the power and toughness it had before any switches.""","688675","38","","2023-Feb-19_12:58:26","USD","3983","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","598912","3","$0.10","$0.30","3","3x","","62721a55-37c6-4c05-aedf-0aa203045afa","457402","","0"
"Arboria","Green","{2}{G}{G}","4","R","(Dominaria Remastered)","World Enchantment","0","0","""Creatures can't attack a player unless that player cast a spell or put a nontoken permanent onto the battlefield during their last turn.""","0","Uriah Voth","""• Arboria doesn’t stop creatures from attacking planeswalkers, regardless of what their controllers did or didn’t do during their last turns.
• Arboria’s effect cares whether a player put a nontoken permanent onto the battlefield. It’s unusual for an ability to care who put a permanent onto the battlefield, as opposed to under whose control it entered.
• Arboria’s effect cares about the actions taken by players, not their results. If a player cast a spell during their last turn but that spell was countered, that player may still be attacked. The same is true if a player put a nontoken permanent onto the battlefield during their last turn, but that permanent left the battlefield before their turn ended.
• If two or more permanents have the world supertype, all of them are put into their owners’ graveyards except the one that has had the world supertype for the shortest amount of time. If there’s a tie for the shortest amount of time, all world permanents are put into the graveyard.""","688347","149","","2023-Feb-19_05:00:50","USD","3802","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","599023","1","$0.49","$0.49","1","1x","","b18f4de2-adfe-4784-bd57-9e2ad9088825","449594","","0"
"Arboria","Green","{2}{G}{G}","4","R","(Dominaria Remastered)","World Enchantment","0","0","""Creatures can't attack a player unless that player cast a spell or put a nontoken permanent onto the battlefield during their last turn.""","0","Uriah Voth","""• Arboria doesn’t stop creatures from attacking planeswalkers, regardless of what their controllers did or didn’t do during their last turns.
• Arboria’s effect cares whether a player put a nontoken permanent onto the battlefield. It’s unusual for an ability to care who put a permanent onto the battlefield, as opposed to under whose control it entered.
• Arboria’s effect cares about the actions taken by players, not their results. If a player cast a spell during their last turn but that spell was countered, that player may still be attacked. The same is true if a player put a nontoken permanent onto the battlefield during their last turn, but that permanent left the battlefield before their turn ended.
• If two or more permanents have the world supertype, all of them are put into their owners’ graveyards except the one that has had the world supertype for the shortest amount of time. If there’s a tie for the shortest amount of time, all world permanents are put into the graveyard.""","NULL","335","","2023-Feb-19_05:02:31","USD","3807","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","601404","1","$0.48","$0.48","1","1x","","b15b991e-b5c1-4d23-ba3a-4554c272a41f","449609","","0"
"Arcades Sabboth","White/Blue/Green","{2}{G}{G}{W}{W}{U}{U}","8","R","(Dominaria Remastered)","Legendary Creature — Elder Dragon","7","7","""Flying
At the beginning of your upkeep, sacrifice Arcades Sabboth unless you pay {G}{W}{U}.
Each untapped creature you control gets +0/+2 as long as it's not attacking.
{W}: Arcades Sabboth gets +0/+1 until end of turn.""","0","Steven Belledin","""• As long as Arcades Sabboth is untapped and isn’t attacking, it gets +0/+2 from its own third ability.""","688753","187","","2023-Feb-19_05:02:27","USD","3806","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","599061","1","$0.30","$0.30","1","1x","","175695bb-2630-4269-a407-9138c7008e81","457426","","0"
"Assault // Battery","Red/Green","{R} // {3}{G}","5","U","(Dominaria Remastered)","Sorcery // Sorcery","0","0","""Assault deals 2 damage to any target.
<>
Create a 3/3 green Elephant creature token.""","0","Ben Thompson","""""","688768","210","","2023-Feb-19_05:17:15","USD","3814","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","0","1","$0.15","$0.15","1","1x","","9b2ca0a2-0a18-4d9e-b953-52018af3c65b","457565","","0"
"Auramancer","White","{2}{W}","3","C","(Dominaria Remastered)","Creature — Human Wizard","2","2","""When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.""","0","Rebecca Guay","""""","688352","1","","2023-Feb-19_13:08:35","USD","4007","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","598875","3","$0.14","$0.42","3","3x","","ffe359e9-2ac8-48ae-9a43-e2f12fd4a785","457157","","0"
"Avarax","Red","{3}{R}{R}","5","C","(Dominaria Remastered)","Creature — Beast","3","3","""Haste
When Avarax enters the battlefield, you may search your library for a card named Avarax, reveal it, put it into your hand, then shuffle.
{1}{R}: Avarax gets +1/+0 until end of turn.""","0","Greg Staples","""""","688715","112","","2023-Feb-19_12:39:57","USD","3941","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","598986","4","$0.11","$0.44","4","4x","","d895ddf9-7d94-411c-ad2e-90d47e51810d","459958","","0"
"Aven Fateshaper","Blue","{6}{U}","7","U","(Dominaria Remastered)","Creature — Bird Wizard","4","5","""Flying
When Aven Fateshaper enters the battlefield, look at the top four cards of your library, then put them back in any order.
{4}{U}: Look at the top four cards of your library, then put them back in any order.""","0","Anthony S. Waters","""""","688676","40","","2023-Feb-19_05:41:07","USD","3885","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","598914","2","$0.14","$0.28","2","2x","","e2f9ed6d-2c26-4cb8-8ecf-8c02a534b9eb","457420","","0"
"Aven Fisher","Blue","{3}{U}","4","C","(Dominaria Remastered)","Creature — Bird Soldier","2","2","""Flying (This creature can't be blocked except by creatures with flying or reach.)
When Aven Fisher dies, you may draw a card.""","0","Christopher Moeller","""""","688677","41","","2023-Feb-19_12:58:41","USD","3984","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","598915","3","$0.10","$0.30","3","3x","","92b8cd57-df68-4f6d-9612-21e66b9f0190","457441","","0"
"Battle Screech","White","{2}{W}{W}","4","U","(Dominaria Remastered)","Sorcery","0","0","""Create two 1/1 white Bird creature tokens with flying.
Flashback—Tap three untapped white creatures you control. (You may cast this card from your graveyard for its flashback cost. Then exile it.)""","0","Randy Gallegos","""• You can tap any untapped white creatures you control to pay for Battle Screech’s flashback cost, even ones you haven’t controlled continuously since the beginning of your most recent turn.
• “Flashback [cost]” means “You may cast this card from your graveyard by paying [cost] rather than paying its mana cost” and “If the flashback cost was paid, exile this card instead of putting it anywhere else any time it would leave the stack.”
• You must still follow any timing restrictions and permissions, including those based on the card's type. For instance, you can cast a sorcery using flashback only when you could normally cast a sorcery.
• To determine the total cost of a spell, start with the mana cost or alternative cost (such as a flashback cost) you're paying, add any cost increases, then apply any cost reductions. The mana value of the spell is determined only by its mana cost, no matter what the total cost to cast the spell was.
• A spell cast using flashback will always be exiled afterward, whether it resolves, is countered, or leaves the stack in some other way.
• You can cast a spell using flashback even if it was somehow put into your graveyard without having been cast.
• If a card with flashback is put into your graveyard during your turn, you can cast it if it's legal to do so before any other player can take any actions.""","688581","2","","2023-Feb-19_05:44:32","USD","3896","Dominaria Remastered","(DMR)","(dmr)","DMR","[DMR]","[dmr]","DMR","dmr","","0","","Regular","Not Using","Have","","","Dominaria remastered 2/18/23","0","598876","2","$0.20","$0.40","2","2x","","3a21cf44-4d8e-4b24-a1fe-4222c857f0ef","457380","","0"
