Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Artists,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros
"Abrade","Red","{1}{R}","2","C","(Double Masters)","Instant","0","0","""Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.""","0","Jonas De Ro","""""","486484","114","","2023-Feb-05_17:29:56","USD","2905","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489787","4","$0.35","$1.40","4","4x","","24da9431-7e52-44f5-bc18-2f2d8a4ca81e","219498","","0"
"Accomplished Automaton","","{7}","7","C","(Double Masters)","Artifact Creature — Construct","5","7","""Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)""","0","Daarken","""• You choose whether to put +1/+1 counters on the creature or create Servo tokens as the fabricate ability is resolving. No player may take actions between the time you choose and the time that counters are added or tokens are created.
• Fabricate doesn't cause the creature with the ability to enter the battlefield with +1/+1 counters already on it. For example, Weaponcraft Enthusiast will enter the battlefield as a 0/1 creature, then its fabricate ability goes on the stack. Players may take actions (such as casting instants) while the ability is waiting to resolve.
• If you can't put +1/+1 counters on the creature for any reason as fabricate resolves (for instance, if it's no longer on the battlefield), you just create Servo tokens.""","486714","230","","2023-Mar-05_23:58:11","USD","4368","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489903","5","$0.20","$1.00","5","5x","","aa453daf-6ceb-4e45-bfb3-f6f45835ac11","219612","","0"
"Alabaster Mage","White","{1}{W}","2","C","(Double Masters)","Creature — Human Wizard","2","1","""{1}{W}: Target creature you control gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)""","0","Izzy","""• Multiple instances of lifelink on the same creature are redundant.""","486219","2","","2023-Feb-05_17:32:29","USD","2916","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489675","4","$0.22","$0.88","4","4x","","0ef65e86-3759-465d-862b-29516eed46e6","219504","","0"
"Ancestral Blade","White","{1}{W}","2","C","(Double Masters)","Artifact — Equipment","0","0","""When Ancestral Blade enters the battlefield, create a 1/1 white Soldier creature token, then attach Ancestral Blade to it.
Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)""","0","Scott Murphy","""• The Soldier token that you create enters the battlefield as a 1/1 creature. Any abilities that trigger when a creature with a certain power enters the battlefield will see the token enter as a 1/1 creature. Static abilities that affect the Soldier's power and toughness may change this, but Ancestral Blade will be attached to the Soldier before the game checks to see if it has toughness 0 or less. For example, if Illness in the Ranks (“Creature tokens get -1/-1”) is on the battlefield, the Soldier will enter as a 0/0 creature, but then Ancestral Blade will make it a 1/1 and the token will survive.
• No player may take any actions between the time you create the Soldier token and the time Ancestral Blade becomes attached to it.
• If the triggered ability causes two Soldiers to be created (due to an effect such as that of Doubling Season), Ancestral Blade becomes attached to one of them.""","486224","3","","2023-Feb-05_17:32:42","USD","2917","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489676","4","$0.20","$0.80","4","4x","","68ca85e4-f1ca-47ff-bb67-eb0d66d35cc8","219505","","0"
"Ancient Stirrings","Green","{G}","1","C","(Double Masters)","Sorcery","0","0","""Look at the top five cards of your library. You may reveal a colorless card from among them and put it into your hand. Then put the rest on the bottom of your library in any order.""","0","Vincent Proce","""• Objects with no mana cost, including lands that could produce colored mana, are colorless by default.""","486144","151","","2023-Feb-05_17:27:04","USD","2893","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489824","4","$0.39","$1.56","4","4x","","726039a0-6c0d-48ef-9b42-99de5d4e41d2","219003","","0"
"Angel of the Dawn","White","{4}{W}","5","C","(Double Masters)","Creature — Angel","3","3","""Flying
When Angel of the Dawn enters the battlefield, creatures you control get +1/+1 and gain vigilance until end of turn.""","0","Livia Prima","""• Angel of the Dawn's triggered ability affects only creatures you control at the time it resolves. Creatures you begin to control later in the turn won't get +1/+1 or gain vigilance.""","486229","4","","2023-Feb-05_17:32:44","USD","2918","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489677","4","$0.20","$0.80","4","4x","","5ccfe469-3fa7-4672-ae15-8f25971e7c56","219506","","0"
"Apprentice Wizard","Blue","{1}{U}{U}","3","C","(Double Masters)","Creature — Human Wizard","0","1","""{U}, {T}: Add {C}{C}{C}.""","0","Richard Kane Ferguson","""""","486294","40","","2023-Mar-05_23:30:12","USD","4347","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489713","4","$0.25","$1.00","4","4x","","e13026a8-7e3c-45b2-9838-080f14ae4b29","219509","","0"
"Argivian Restoration","Blue","{2}{U}{U}","4","C","(Double Masters)","Sorcery","0","0","""Return target artifact card from your graveyard to the battlefield.""","0","Roger Raupp","""""","486299","42","","2023-Mar-05_23:30:45","USD","4348","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489715","4","$0.24","$0.96","4","4x","","3f14b3a6-5490-4a50-9449-542e23f1d6b1","219552","","0"
"Auriok Salvagers","White","{3}{W}","4","U","(Double Masters)","Creature — Human Soldier","2","4","""{1}{W}: Return target artifact card with mana value 1 or less from your graveyard to your hand.""","0","Randy Gallegos","""• If a card in a player's graveyard has {X} in its mana cost, X is considered to be 0.""","484064","6","","2023-May-14_06:07:09","USD","5443","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489679","2","$0.25","$0.50","2","2x","","befb996b-1da6-41a3-8d9a-a45c2353c401","218599","","0"
"Balduvian Rage","Red","{X}{R}","1","C","(Double Masters)","Instant","0","0","""Target attacking creature gets +X/+0 until end of turn.
Draw a card at the beginning of the next turn's upkeep.""","0","John Matson","""• If the target creature is an illegal target by the time Balduvian Rage tries to resolve, the spell won't resolve. You won't draw a card next turn.""","486489","115","","2023-Mar-05_23:45:03","USD","4363","Double Masters","(2XM)","(2xm)","2XM","[2XM]","[2xm]","2XM","2xm","","0","","Regular","Not Using","Have","","","Double master 1/30/23","0","489788","3","$0.25","$0.75","3","3x","","81848391-ed73-498a-a650-4041fb9a46bc","219500","","0"
