Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Artists,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros
"+2 Mace","White","{1}{W}","2","C","(Adventures in the Forgotten Realms)","Artifact — Equipment","0","0","""Equipped creature gets +2/+2.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)""","0","Jarel Threat","""""","571299","1","","2023-Feb-05_17:45:42","USD","2970","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms 1/31/23","0","0","1","$0.14","$0.14","1","1x","","e882c9f9-bf30-46b6-bedc-379d2c80e5cb","243201","","0"
"Arborea Pegasus","White","{3}{W}","4","C","(Adventures in the Forgotten Realms)","Creature — Pegasus","2","3","""Flying
When Arborea Pegasus enters the battlefield, target creature gets +1/+1 and gains flying until end of turn.""","0","Justyna Dura","""""","571841","2","","2023-Feb-05_17:46:22","USD","2971","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms 1/31/23","0","527289","1","$0.14","$0.14","1","1x","","fc45c9d4-ecc7-4a9d-9efe-f4b7d697dd97","243434","","0"
"Armory Veteran","Red","{1}{R}","2","C","(Adventures in the Forgotten Realms)","Creature — Orc Warrior","2","2","""As long as Armory Veteran is equipped, it has menace. (It can't be blocked except by two or more creatures.)""","0","Caio Monteiro","""""","571854","130","","2023-Feb-05_17:43:06","USD","2953","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms 1/31/23","0","527417","2","$0.13","$0.26","2","2x","","4177f57e-c239-47e8-ae50-5f593f6d54ec","243427","","0"
"Bag of Holding","","{1}","1","U","(Adventures in the Forgotten Realms)","Artifact","0","0","""Whenever you discard a card, exile that card from your graveyard.
{2}, {T}: Draw a card, then discard a card.
{4}, {T}, Sacrifice Bag of Holding: Return all cards exiled with Bag of Holding to their owner's hand.""","0","Evyn Fong","""• If you discard a card but that card is not in your graveyard as Bag of Holding's first ability resolves, that card remains wherever it has moved.
• If you control more than one Bag of Holding, you choose which one will hold the discarded card. Other Bags of Holding can't return that card.
• You both draw and discard while Bag of Holding's second ability is resolving. No player may take any action—nor can anything else happen—until you've both drawn and discarded.
• If Bag of Holding is moved to exile when you sacrifice it (most likely due to Leyline of the Void's effect), it remains in exile. It won't be returned to your hand.
• If Bag of Holding leaves the battlefield, the items it contained are exiled forever (and, perhaps, scattered throughout the Astral Plane). If the same Bag of Holding card returns to the battlefield, it's considered a new object without access to the cards stored by the old object.""","571367","240","","2023-Jan-31_12:32:24","USD","2104","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms 1/31/23","0","527527","1","$0.25","$0.25","1","1x","","6ea5e4e9-491b-4c80-8801-f4cd5225c601","243274","","0"
"Baleful Beholder","Black","{4}{B}{B}","6","C","(Adventures in the Forgotten Realms)","Creature — Beholder","6","5","""When Baleful Beholder enters the battlefield, choose one —
• Antimagic Cone — Each opponent sacrifices an enchantment.
• Fear Ray — Creatures you control gain menace until end of turn. (A creature with menace can't be blocked except by two or more creatures.)""","0","Lars Grant-West","""• In a multiplayer game, each opponent in turn order will choose which enchantment to sacrifice, and they get to know the choices made before them by other players. Once those decisions are made, the chosen enchantments are all sacrificed at the same time.""","571105","89","","2023-Jan-31_15:49:27","USD","2246","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms 1/31/23","0","527376","1","$0.14","$0.14","1","1x","","e52d6ef6-d8a3-4288-8917-4c0a179ed4e0","243152","","0"
"Baleful Beholder","Black","{4}{B}{B}","6","C","(Adventures in the Forgotten Realms)","Creature — Beholder","6","5","""When Baleful Beholder enters the battlefield, choose one —
• Antimagic Cone — Each opponent sacrifices an enchantment.
• Fear Ray — Creatures you control gain menace until end of turn. (A creature with menace can't be blocked except by two or more creatures.)""","0","Justine Jones","""• In a multiplayer game, each opponent in turn order will choose which enchantment to sacrifice, and they get to know the choices made before them by other players. Once those decisions are made, the chosen enchantments are all sacrificed at the same time.""","571106","311","","2023-Jan-31_15:49:34","USD","2247","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Showcase","Not Using","Have","","","Forgotten realms 1/31/23","0","530945","1","$0.20","$0.20","1","1x","","204f3cba-df13-4c89-b92d-47ee3be6809c","243133","","0"
"Blink Dog","White","{2}{W}","3","U","(Adventures in the Forgotten Realms)","Creature — Dog","1","1","""Double strike
Teleport — {3}{W}: Blink Dog phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)""","0","Oriana Menendez","""• Phased out permanents are treated as though they don't exist. They can't be the target of spells or abilities, their static abilities have no effect on the game, their triggered abilities can't trigger, they can't attack or block, and so on.
• As Blink Dog phases out, Auras and Equipment attached to it also phase out at the same time. Those Auras and Equipment will phase in at the same time Blink Dog does, and they'll phase in still attached to Blink Dog.
• Permanents phase back in during their controller's untap step, immediately before that player untaps their permanents. Creatures that phase in this way are able to attack and pay a cost of {T} during that turn. If a permanent had counters on it when it phased out, it will have those counters when it phases back in.
• An attacking or blocking creature that phases out is removed from combat.
• Phasing out doesn't cause any “leaves the battlefield” abilities to trigger. Similarly, phasing in won't cause any “enters the battlefield” abilities to trigger.
• Any continuous effects with a “for as long as” duration, such as that of Mind Flayer, ignore phased-out objects. If ignoring those objects causes the effect's conditions to no longer be met, the duration will expire.
• Choices made for permanents as they entered the battlefield are remembered when they phase in.
• If an opponent gains control of your Blink Dog, activates its Teleport ability, and the duration of the control-change effect expires before it phases in, Blink Dog phases in under your control as that opponent's next untap step begins. If they leave the game before their next untap step, Blink Dog phases in as the next untap step begins after their turn would have begun.""","571889","3","","2023-May-17_16:00:57","USD","5558","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms 1/31/23","0","527290","2","$0.20","$0.40","2","2x","","cc040492-7fb7-4fdb-aafe-8179e5f2b28c","243583","","0"
"Blink Dog","White","{2}{W}","3","U","(Adventures in the Forgotten Realms)","Creature — Dog","1","1","""Double strike
Teleport — {3}{W}: Blink Dog phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)""","0","Pedro Potier","""• Phased out permanents are treated as though they don't exist. They can't be the target of spells or abilities, their static abilities have no effect on the game, their triggered abilities can't trigger, they can't attack or block, and so on.
• As Blink Dog phases out, Auras and Equipment attached to it also phase out at the same time. Those Auras and Equipment will phase in at the same time Blink Dog does, and they'll phase in still attached to Blink Dog.
• Permanents phase back in during their controller's untap step, immediately before that player untaps their permanents. Creatures that phase in this way are able to attack and pay a cost of {T} during that turn. If a permanent had counters on it when it phased out, it will have those counters when it phases back in.
• An attacking or blocking creature that phases out is removed from combat.
• Phasing out doesn't cause any “leaves the battlefield” abilities to trigger. Similarly, phasing in won't cause any “enters the battlefield” abilities to trigger.
• Any continuous effects with a “for as long as” duration, such as that of Mind Flayer, ignore phased-out objects. If ignoring those objects causes the effect's conditions to no longer be met, the duration will expire.
• Choices made for permanents as they entered the battlefield are remembered when they phase in.
• If an opponent gains control of your Blink Dog, activates its Teleport ability, and the duration of the control-change effect expires before it phases in, Blink Dog phases in under your control as that opponent's next untap step begins. If they leave the game before their next untap step, Blink Dog phases in as the next untap step begins after their turn would have begun.""","572034","300","","2023-May-17_16:01:23","USD","5559","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Showcase","Not Using","Have","","","Forgotten realms 1/31/23","0","530934","1","$0.25","$0.25","1","1x","","4fcf1082-25ac-4537-9fd9-631f834097ad","243584","","0"
"Boots of Speed","Red","{R}","1","C","(Adventures in the Forgotten Realms)","Artifact — Equipment","0","0","""Equipped creature gets +1/+0 and has haste.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)""","0","Chris Rallis","""""","571855","133","","2023-Feb-05_17:43:20","USD","2954","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms 1/31/23","0","527420","1","$0.20","$0.20","1","1x","","db6d9913-3d4f-4f47-ba3a-6586a50ddbd7","243431","","0"
"Brazen Dwarf","Red","{1}{R}","2","C","(Adventures in the Forgotten Realms)","Creature — Dwarf Shaman","1","3","""Whenever you roll one or more dice, Brazen Dwarf deals 1 damage to each opponent.""","0","Gabor Szikszai","""""","571364","134","","2023-Feb-05_17:43:21","USD","2955","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms 1/31/23","0","527421","2","$0.20","$0.40","2","2x","","3658e65b-df54-4327-9104-c2f3dd65df85","243260","","0"
