Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Artists,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros
"+2 Mace","White","{1}{W}","2","C","(Adventures in the Forgotten Realms)","Artifact — Equipment","0","0","""Equipped creature gets +2/+2.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)""","0","Jarel Threat","""""","571299","1","","2022-Oct-16_04:30:22","USD","620","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms ","0","0","1","$0.14","$0.14","1","1x","","e882c9f9-bf30-46b6-bedc-379d2c80e5cb","243201","","0"
"Aberrant Mind Sorcerer","Blue","{4}{U}","5","U","(Adventures in the Forgotten Realms)","Creature — Human Elf Shaman","3","4","""Psionic Spells — When Aberrant Mind Sorcerer enters the battlefield, choose target instant or sorcery card in your graveyard, then roll a d20.
1—9 | You may put that card on top of your library.
10—20 | Return that card to your hand.""","0","Lius Lasahido","""""","571887","44","","2022-Oct-16_04:05:40","USD","524","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms ","0","527331","1","$0.21","$0.21","1","1x","","d9c6401a-e152-4acf-a2ca-75c484f296d5","243580","","0"
"Air-Cult Elemental","Blue","{4}{U}{U}","6","C","(Adventures in the Forgotten Realms)","Creature — Elemental","2","5","""Flying
Whirlwind — When Air-Cult Elemental enters the battlefield, return up to one other target creature to its owner's hand.""","0","Kari Christensen","""""","571242","45","","2022-Oct-16_04:31:12","USD","624","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms ","0","527332","1","$0.12","$0.12","1","1x","","fba82564-a9a9-4ded-a5fa-0e5fab2a3faa","243149","","0"
"Air-Cult Elemental","Blue","{4}{U}{U}","6","C","(Adventures in the Forgotten Realms)","Creature — Elemental","2","5","""Flying
Whirlwind — When Air-Cult Elemental enters the battlefield, return up to one other target creature to its owner's hand.""","0","Kari Christensen","""""","571242","45","","2022-Oct-16_04:38:24","USD","664","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms ","0","527332","1","$0.12","$0.12","1","1x","","fba82564-a9a9-4ded-a5fa-0e5fab2a3faa","243149","","0"
"Arborea Pegasus","White","{3}{W}","4","C","(Adventures in the Forgotten Realms)","Creature — Pegasus","2","3","""Flying
When Arborea Pegasus enters the battlefield, target creature gets +1/+1 and gains flying until end of turn.""","0","Justyna Dura","""""","571841","2","","2022-Oct-16_04:15:33","USD","566","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms ","0","527289","1","$0.14","$0.14","1","1x","","fc45c9d4-ecc7-4a9d-9efe-f4b7d697dd97","243434","","0"
"Arcane Investigator","Blue","{1}{U}","2","C","(Adventures in the Forgotten Realms)","Creature — Elf Wizard","2","1","""Search the Room — {5}{U}: Roll a d20.
1—9 | Draw a card.
10—20 | Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.""","0","Bram Sels","""• Dice are identified by the number of faces each one has. For example, a d20 is a twenty-sided die.
• Dice used must have equally likely outcomes and the roll must be fair. Although physical dice are recommended, digital substitutes are allowed, provided they have the same number of equally likely outcomes as specified in the original roll instruction.
• An ability that tells you to roll a die will also specify what to do with the result of that roll. Most often, this is in the form of a “results table” in the card text.
• The instruction to roll a die and the effect that occurs because of the result are all part of the same ability. Players do not get the chance to respond to the ability after knowing the result of the roll.
• An effect that says “choose a target, then roll a d20” or similar still uses the normal process of putting an ability on the stack and resolving it. Choosing targets is part of putting the ability on the stack and rolling the d20 happens later, as the ability resolves.
• Some effects may modify the result of a die roll. This may be part of the instruction to roll a die or it may come from other cards. Anything that references the “result” of a die roll is looking for the result after these modifications. Anything that is looking for the “natural result” is looking for the number shown on the face of the die before these modifications.
• Some abilities, like that of Pixie Guide and Barbarian Class, replace rolling a die with rolling extra dice and ignoring the lowest roll. The ignored rolls are not considered for the effect that instructed you to roll a die, and do not cause abilities to trigger. For all intents and purposes, once you determine which dice count, any extra dice were never rolled.
• Some effects instruct you to roll again. This uses the same number and type of dice as the original roll, and that roll will use the same set of possible outcomes.
• While playing Planechase, rolling the planar die will cause any ability that triggers whenever a player rolls one or more dice to trigger. However, any effect that refers to a numerical result will ignore the rolling of the planar die.
• Tournament events have more specific rules regarding dice and die-rolling. For more information, please see the most recent version of the Magic Tournament Rules at https://wpn.wizards.com/en/document/magic-gathering-tournament-rules.""","571399","46","","2022-Oct-16_04:18:57","USD","586","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms ","0","527333","1","$0.15","$0.15","1","1x","","dc457520-9947-4f65-bbe7-9b95bd2c23af","243275","","0"
"Arcane Investigator","Blue","{1}{U}","2","C","(Adventures in the Forgotten Realms)","Creature — Elf Wizard","2","1","""Search the Room — {5}{U}: Roll a d20.
1—9 | Draw a card.
10—20 | Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.""","0","Bram Sels","""• Dice are identified by the number of faces each one has. For example, a d20 is a twenty-sided die.
• Dice used must have equally likely outcomes and the roll must be fair. Although physical dice are recommended, digital substitutes are allowed, provided they have the same number of equally likely outcomes as specified in the original roll instruction.
• An ability that tells you to roll a die will also specify what to do with the result of that roll. Most often, this is in the form of a “results table” in the card text.
• The instruction to roll a die and the effect that occurs because of the result are all part of the same ability. Players do not get the chance to respond to the ability after knowing the result of the roll.
• An effect that says “choose a target, then roll a d20” or similar still uses the normal process of putting an ability on the stack and resolving it. Choosing targets is part of putting the ability on the stack and rolling the d20 happens later, as the ability resolves.
• Some effects may modify the result of a die roll. This may be part of the instruction to roll a die or it may come from other cards. Anything that references the “result” of a die roll is looking for the result after these modifications. Anything that is looking for the “natural result” is looking for the number shown on the face of the die before these modifications.
• Some abilities, like that of Pixie Guide and Barbarian Class, replace rolling a die with rolling extra dice and ignoring the lowest roll. The ignored rolls are not considered for the effect that instructed you to roll a die, and do not cause abilities to trigger. For all intents and purposes, once you determine which dice count, any extra dice were never rolled.
• Some effects instruct you to roll again. This uses the same number and type of dice as the original roll, and that roll will use the same set of possible outcomes.
• While playing Planechase, rolling the planar die will cause any ability that triggers whenever a player rolls one or more dice to trigger. However, any effect that refers to a numerical result will ignore the rolling of the planar die.
• Tournament events have more specific rules regarding dice and die-rolling. For more information, please see the most recent version of the Magic Tournament Rules at https://wpn.wizards.com/en/document/magic-gathering-tournament-rules.""","571399","46","","2022-Oct-16_04:46:22","USD","748","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms ","0","527333","1","$0.15","$0.15","1","1x","","dc457520-9947-4f65-bbe7-9b95bd2c23af","243275","","0"
"Armory Veteran","Red","{1}{R}","2","C","(Adventures in the Forgotten Realms)","Creature — Orc Warrior","2","2","""As long as Armory Veteran is equipped, it has menace. (It can't be blocked except by two or more creatures.)""","0","Caio Monteiro","""""","571854","130","","2022-Oct-16_04:13:10","USD","553","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms ","0","527417","1","$0.13","$0.13","1","1x","","4177f57e-c239-47e8-ae50-5f593f6d54ec","243427","","0"
"Armory Veteran","Red","{1}{R}","2","C","(Adventures in the Forgotten Realms)","Creature — Orc Warrior","2","2","""As long as Armory Veteran is equipped, it has menace. (It can't be blocked except by two or more creatures.)""","0","Caio Monteiro","""""","571854","130","","2022-Oct-16_04:21:34","USD","599","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","","0","","Regular","Not Using","Have","","","Forgotten realms ","0","527417","1","$0.13","$0.13","1","1x","","4177f57e-c239-47e8-ae50-5f593f6d54ec","243427","","0"
"Asmodeus the Archfiend","Black","{4}{B}{B}","6","R","(Adventures in the Forgotten Realms)","Legendary Creature — Devil God","6","6","""Binding Contract — If you would draw a card, exile the top card of your library face down instead.
{B}{B}{B}: Draw seven cards.
{B}: Return all cards exiled with Asmodeus the Archfiend to their owner's hand and you lose that much life.""","0","Aleksi Briclot","""• If a card is exiled face-down and no player has been given permission to look at it, no player is allowed to look at it as long as it remains exiled face-down.
• If your library is empty, no cards will be exiled but you won't lose the game due to drawing from an empty library.
• If Asmodeus the Archfiend leaves the battlefield before you activate its last ability, any cards exiled by its replacement effect remain exiled face down for the rest of the game. If you somehow return the same Asmodeus the Archfiend card to the battlefield, it will be a different object with no connection to those face-down cards.""","571892","88","","2022-Oct-16_03:19:46","USD","458","Adventures in the Forgotten Realms","(AFR)","(afr)","AFR","[AFR]","[afr]","AFR","afr","Foil","1","foil","Regular","Not Using","Have","","","Forgotten realms ","0","527375","0","$0.70","$0.70","1","1x","","a5e6b864-58e7-43b9-9d79-1d0361340960","243588","","0"
