Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros,Artists
"Abzan Battle Priest","White","{3}{W}","4","U","(Iconic Masters)","Creature — Human Cleric","3","2","""Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has lifelink.""","0","""• The cost to activate a creature’s outlast ability includes the tap symbol ({T}). A creature’s outlast ability can’t be activated unless that creature has been under your control continuously since the beginning of your turn.
• Several creatures with outlast also grant an ability to creatures you control with +1/+1 counters on them, including themselves. These counters could come from an outlast ability, but any +1/+1 counter on the creature will count.""","301557","2","","2023-May-17_15:49:17","USD","5514","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438568","1","$0.39","$0.39","1","1x","","3f2877ac-195b-4397-89bd-0bee3220b2a4","145351","","0","Chris Rahn"
"Abzan Falconer","White","{2}{W}","3","U","(Iconic Masters)","Creature — Human Soldier","2","3","""Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has flying.""","0","""• The cost to activate a creature's outlast ability includes the tap symbol ({T}). A creature's outlast ability can't be activated unless that creature has been under your control continuously since the beginning of your turn.
• Several creatures with outlast also grant an ability to creatures you control with +1/+1 counters on them, including themselves. These counters could come from an outlast ability, but any +1/+1 counter on the creature will count.""","301408","3","","2023-May-17_15:49:31","USD","5515","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438569","1","$0.25","$0.25","1","1x","","9c06621d-a0c9-4c84-8b1a-cb0abd8390c4","145352","","0","Steven Belledin"
"Aerial Predation","Green","{2}{G}","3","C","(Iconic Masters)","Instant","0","0","""Destroy target creature with flying. You gain 2 life.""","0","""• If the creature with flying is an illegal target when Aerial Predation tries to resolve, it won’t resolve and none of its effects will happen. You won’t gain 2 life.
• You must be able to target a creature with flying to cast Aerial Predation.""","301487","154","","2023-Feb-13_06:04:12","USD","3736","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438720","15","$0.24","$3.60","15","15x","","3b405858-83eb-4939-b86d-4ba190fca048","145506","","0","BD"
"Ainok Bond-Kin","White","{1}{W}","2","C","(Iconic Masters)","Creature — Dog Soldier","2","1","""Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)
Each creature you control with a +1/+1 counter on it has first strike.""","0","""• The cost to activate a creature's outlast ability includes the tap symbol ({T}). A creature's outlast ability can't be activated unless that creature has been under your control continuously since the beginning of your turn.
• Several creatures with outlast also grant an ability to creatures you control with +1/+1 counters on them, including themselves. These counters could come from an outlast ability, but any +1/+1 counter on the creature will count.""","301409","4","","2023-Feb-13_05:12:13","USD","3664","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438570","11","$0.21","$2.31","11","11x","","0f32c514-36b9-4e1f-86e8-1d36e5282062","145353","","0","Chris Rahn"
"Amass the Components","Blue","{3}{U}","4","C","(Iconic Masters)","Sorcery","0","0","""Draw three cards, then put a card from your hand on the bottom of your library.""","0","""• If you cast Amass the Components with fewer than three cards in your library, you’ll draw the remaining cards in your library, put a card from your hand on the bottom of your library, then lose the game for drawing a card from a library with no cards in it the next time state-based actions are performed.""","301572","41","","2023-Feb-13_05:25:47","USD","3682","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438607","13","$0.20","$2.60","13","13x","","f36521a7-8997-45da-aaa6-dd70d5c4e7f4","145400","","0","Matt Stewart"
"Angel of Mercy","White","{4}{W}","5","C","(Iconic Masters)","Creature — Angel","3","3","""Flying
When Angel of Mercy enters the battlefield, you gain 3 life.""","0","""""","301410","6","","2023-Feb-13_05:13:06","USD","3665","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438572","10","$0.20","$2.00","10","10x","","19caada3-7548-44d4-bf3f-680f7d3fa7b8","145355","","0","Volkan Baǵa"
"Angelic Accord","White","{3}{W}","4","U","(Iconic Masters)","Enchantment","0","0","""At the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying.""","0","""• Angelic Accord’s ability checks how much life you’ve gained during the turn, not what your life total is compared to what it was when the turn began. For example, if you start the turn at 10 life, gain 6 life during the turn, then lose 6 life later that turn, the ability will trigger.
• If you haven’t gained 4 or more life during the turn when the end step begins, the ability won’t trigger at all. Gaining life during the end step won’t cause the ability to trigger.
• In a Two-Headed Giant game, life gained by your teammate isn’t considered, even though it causes your team’s life total to increase.""","301559","7","","2023-May-17_15:49:40","USD","5516","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438573","1","$1.13","$1.13","1","1x","","349e8190-15fd-44ed-a821-9a5f3615d2d9","145356","","0","Michael C. Hayes"
"Bala Ged Scorpion","Black","{3}{B}","4","C","(Iconic Masters)","Creature — Scorpion","2","3","""When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.""","0","""• The power of the targeted creature is checked both as you target it and as the ability resolves.""","301589","79","","2023-Feb-13_05:41:07","USD","3700","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438645","10","$0.20","$2.00","10","10x","","b6234dca-088f-4888-98d3-0d5a50eb5e61","145402","","0","Daarken"
"Balustrade Spy","Black","{3}{B}","4","C","(Iconic Masters)","Creature — Vampire Rogue","2","3","""Flying
When Balustrade Spy enters the battlefield, target player reveals cards from the top of their library until they reveal a land card, then puts those cards into their graveyard.""","0","""• If the target player has no land cards in their library, all cards from that library will be revealed and put into their graveyard.""","301453","80","","2023-Feb-13_05:41:39","USD","3701","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438646","10","$0.20","$2.00","10","10x","","d295ef8c-fe8f-49f2-8588-7f5782315fc7","145406","","0","Jaime Jones"
"Battle-Rattle Shaman","Red","{3}{R}","4","C","(Iconic Masters)","Creature — Goblin Shaman","2","2","""At the beginning of combat on your turn, you may have target creature get +2/+0 until end of turn.""","0","""• Battle-Rattle Shaman's ability triggers when the beginning of combat step starts during each of your turns. It resolves before you declare attackers.
• If a spell or ability causes your turn to have multiple combat phases, Battle Rattle Shaman's ability triggers during each of them.""","301470","117","","2023-Feb-13_05:51:30","USD","3718","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438683","14","$0.20","$2.80","14","14x","","7ccbfd3f-da15-46aa-9ffc-b6bfdf9d1d91","145444","","0","Warren Mahy"
"Benevolent Ancestor","White","{2}{W}","3","C","(Iconic Masters)","Creature — Spirit","0","4","""Defender (This creature can't attack.)
{T}: Prevent the next 1 damage that would be dealt to any target this turn.""","0","""• If the target would be dealt damage by multiple sources at once, that player or that permanent’s controller chooses one of those sources at the time damage would be dealt, and 1 of that damage from that source is prevented.""","301560","12","","2023-Feb-13_05:13:42","USD","3666","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438578","12","$0.20","$2.40","12","12x","","ccf59723-fa84-40e3-b63e-b735addfdb43","145358","","0","Nick Percival"
