Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros,Artists
"Abrade","Red","{1}{R}","2","C","(Innistrad: Crimson Vow)","Instant","0","0","""Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.""","0","""""","581891","139","","2022-Dec-18_09:06:36","USD","1267","Innistrad: Crimson Vow","(VOW)","(vow)","VOW","[VOW]","[vow]","VOW","vow","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","540992","1","$0.25","$0.25","1","1x","","a0e47d11-cb21-402b-a39e-588a94cc57b4","253063","","0","Dominik Mayer"
"Abrade","Red","{1}{R}","2","U","(Starter Commander Decks)","Instant","0","0","""Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.""","0","""""","689017","122","","2022-Dec-18_07:58:43","USD","920","Starter Commander Decks","(SCD)","(scd)","SCD","[SCD]","[scd]","SCD","scd","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","0","1","$0.23","$0.23","1","1x","","778fad36-28d5-488b-bc7a-e60c8646bdc2","456988","","0","Dominik Mayer"
"Abrade","Red","{1}{R}","2","U","(Starter Commander Decks)","Instant","0","0","""Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.""","0","""""","689017","122","","2022-Dec-18_08:24:54","USD","1043","Starter Commander Decks","(SCD)","(scd)","SCD","[SCD]","[scd]","SCD","scd","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","0","1","$0.23","$0.23","1","1x","","778fad36-28d5-488b-bc7a-e60c8646bdc2","456988","","0","Dominik Mayer"
"Adamant Will","White","{1}{W}","2","C","(Innistrad: Crimson Vow)","Instant","0","0","""Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)""","0","""""","583514","1","","2022-Dec-18_07:31:08","USD","803","Innistrad: Crimson Vow","(VOW)","(vow)","VOW","[VOW]","[vow]","VOW","vow","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","540828","1","$0.15","$0.15","1","1x","","bd091f3e-5fcc-4d12-b0c3-3b6340ab01d8","253740","","0","Irina Nordsol"
"Adamant Will","White","{1}{W}","2","C","(Innistrad: Crimson Vow)","Instant","0","0","""Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)""","0","""""","583514","1","","2022-Dec-18_08:37:39","USD","1120","Innistrad: Crimson Vow","(VOW)","(vow)","VOW","[VOW]","[vow]","VOW","vow","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","540828","1","$0.15","$0.15","1","1x","","bd091f3e-5fcc-4d12-b0c3-3b6340ab01d8","253740","","0","Irina Nordsol"
"Adamant Will","White","{1}{W}","2","C","(Innistrad: Crimson Vow)","Instant","0","0","""Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)""","0","""""","583514","1","","2022-Dec-18_08:49:02","USD","1178","Innistrad: Crimson Vow","(VOW)","(vow)","VOW","[VOW]","[vow]","VOW","vow","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","540828","1","$0.15","$0.15","1","1x","","bd091f3e-5fcc-4d12-b0c3-3b6340ab01d8","253740","","0","Irina Nordsol"
"Adamant Will","White","{1}{W}","2","C","(Innistrad: Crimson Vow)","Instant","0","0","""Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)""","0","""""","583514","1","","2022-Dec-18_09:14:31","USD","1314","Innistrad: Crimson Vow","(VOW)","(vow)","VOW","[VOW]","[vow]","VOW","vow","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","540828","1","$0.15","$0.15","1","1x","","bd091f3e-5fcc-4d12-b0c3-3b6340ab01d8","253740","","0","Irina Nordsol"
"Aim for the Head","Black","{2}{B}","3","C","(Innistrad: Crimson Vow)","Sorcery","0","0","""Choose one —
• Exile target Zombie.
• Target opponent exiles two cards from their hand.""","0","""• If the target opponent only has one card in hand, they will exile that card.""","583548","92","","2022-Dec-18_08:13:13","USD","972","Innistrad: Crimson Vow","(VOW)","(vow)","VOW","[VOW]","[vow]","VOW","vow","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","540936","1","$0.10","$0.10","1","1x","","1174e8e1-2e8e-4070-9871-7d5d93e0dd56","253714","","0","Zoltan Boros"
"Aim for the Head","Black","{2}{B}","3","C","(Innistrad: Crimson Vow)","Sorcery","0","0","""Choose one —
• Exile target Zombie.
• Target opponent exiles two cards from their hand.""","0","""• If the target opponent only has one card in hand, they will exile that card.""","583548","92","","2022-Dec-18_08:32:47","USD","1092","Innistrad: Crimson Vow","(VOW)","(vow)","VOW","[VOW]","[vow]","VOW","vow","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","540936","1","$0.10","$0.10","1","1x","","1174e8e1-2e8e-4070-9871-7d5d93e0dd56","253714","","0","Zoltan Boros"
"Aim for the Head","Black","{2}{B}","3","C","(Innistrad: Crimson Vow)","Sorcery","0","0","""Choose one —
• Exile target Zombie.
• Target opponent exiles two cards from their hand.""","0","""• If the target opponent only has one card in hand, they will exile that card.""","583548","92","","2022-Dec-18_09:14:53","USD","1318","Innistrad: Crimson Vow","(VOW)","(vow)","VOW","[VOW]","[vow]","VOW","vow","","0","","Regular","Not Using","Have","","","Innstrad crimson vow","0","540936","1","$0.10","$0.10","1","1x","","1174e8e1-2e8e-4070-9871-7d5d93e0dd56","253714","","0","Zoltan Boros"
