Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Artists,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros
"Akki Ember-Keeper","Red","{1}{R}","2","C","(Kamigawa: Neon Dynasty)","Enchantment Creature — Goblin Warrior","2","1","""Whenever a nontoken modified creature you control dies, create a 1/1 colorless Spirit creature token. (Equipment, Auras you control, and counters are modifications.)""","0","April Prime","""""","607023","130","","2023-Feb-05_17:59:21","USD","3020","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548432","1","$0.11","$0.11","1","1x","","4d83e837-fcd1-4833-9117-e6f1bb53caad","262129","","0"
"Akki Ronin","Red","{1}{R}","2","C","(Kamigawa: Neon Dynasty)","Creature — Goblin Samurai","1","3","""Whenever a Samurai or Warrior you control attacks alone, you may discard a card. If you do, draw a card.""","0","Olivier Bernard","""""","608229","131","","2023-Feb-05_17:59:22","USD","3021","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548433","2","$0.12","$0.24","2","2x","","96f15754-1ca6-45b0-a7de-2fe507df2a1a","262786","","0"
"Akki War Paint","Red","{R}","1","C","(Kamigawa: Neon Dynasty)","Enchantment — Aura","0","0","""Enchant artifact or creature
As long as enchanted permanent is a creature, it gets +2/+1.""","0","Jeremy Wilson","""""","607159","132","","2023-Feb-05_17:59:37","USD","3022","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548434","1","$0.12","$0.12","1","1x","","f110698e-a343-4eff-ba23-ed7ac5a3f87b","262168","","0"
"Ambitious Assault","Red","{2}{R}","3","C","(Kamigawa: Neon Dynasty)","Instant","0","0","""Creatures you control get +2/+0 until end of turn. If you control a modified creature, draw a card. (Equipment, Auras you control, and counters are modifications.)""","0","Wayne Reynolds","""""","608230","133","","2023-Feb-05_17:59:38","USD","3023","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548435","2","$0.13","$0.26","2","2x","","d00d618d-abad-475b-b938-e111282ea1c3","262788","","0"
"Ancestral Katana","White","{1}{W}","2","C","(Kamigawa: Neon Dynasty)","Artifact — Equipment","0","0","""Whenever a Samurai or Warrior you control attacks alone, you may pay {1}. When you do, attach Ancestral Katana to it.
Equipped creature gets +2/+1.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)""","0","Daniel Ljunggren","""• A creature attacks alone if it's the only creature declared as an attacker during the declare attackers step. For example, Ancestral Katana's triggered ability won't trigger if you attack with multiple creatures and all but one of them are removed from combat.
• If you choose to pay {1} as Ancestral Katana's ability resolves, a second triggered ability triggers and players may respond to it. Then, as that second ability resolves, Ancestral Katana becomes attached to the creature that attacked alone.""","607153","1","","2023-Feb-05_18:01:57","USD","3032","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548291","1","$0.15","$0.15","1","1x","","d9b1ed43-ee6c-43a2-ba94-5bf71c63e070","262136","","0"
"Armguard Familiar","Blue","{1}{U}","2","C","(Kamigawa: Neon Dynasty)","Artifact Creature — Equipment Beast","2","1","""Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Equipped creature gets +2/+1 and has ward {2}.
Reconfigure {4} ({4}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)""","0","Joshua Raphael","""• Reconfigure represents two activated abilities. Reconfigure [cost] means “[Cost]: Attach this permanent to another target creature you control. Activate only as a sorcery,” and “[Cost]: Unattach this permanent. Activate only if this permanent is attached to a creature and only as a sorcery.”
• Attaching an Equipment with reconfigure to a creature causes that Equipment to stop being a creature until it becomes unattached. It also loses any creature subtypes it had.
• An Equipment doesn't become tapped when the permanent it's attached to becomes tapped. For example, if you attack with a creature that is equipped with Acquisition Octopus, then use reconfigure to unattach Acquisition Octopus after combat, the Octopus will be untapped and could be used to block during your opponent's turn.
• Similarly, if an Equipment is tapped, its reconfigure abilities may still be activated and it may still become attached to creatures. Becoming attached doesn't untap it. In most cases, an attached Equipment being tapped won't affect gameplay, but it will be relevant if it becomes unattached again before it untaps.
• If an Equipment with reconfigure somehow loses its abilities while it is attached, the effect causing it to not be a creature continues to apply until it becomes unattached.
• As soon as an Equipment creature with reconfigure stops being a creature, any Equipment and Auras with enchant creature abilities become unattached. Auras that can enchant an Equipment that isn't a creature remain attached to it.
• An Equipment creature with reconfigure can be attached to creatures by effects other than its reconfigure ability, such as the activated ability of Brass Squire.
• Although it causes an Equipment to become attached to a creature, reconfigure is not an “equip ability” for the purpose of cards like Fighter Class and Leonin Shikari.
• An Equipment creature can never become attached to itself. If an effect tries to do this, nothing happens.
• If a permanent with reconfigure is somehow still a creature after it becomes attached (perhaps due to an effect like that of March of the Machines), it immediately becomes unattached from the equipped creature.
• If a player casts a spell that targets multiple permanents their opponent controls with ward, each of those ward abilities will trigger. If that player doesn't pay for all of them, the spell will be countered.""","607357","46","","2023-Feb-05_17:52:55","USD","2991","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548341","1","$0.11","$0.11","1","1x","","7497f147-146d-4a76-b670-bd84e07352b3","262191","","0"
"Automated Artificer","","{2}","2","C","(Kamigawa: Neon Dynasty)","Artifact Creature — Artificer","1","3","""{T}: Add {C}. Spend this mana only to activate an ability or cast an artifact spell.""","0","Izzy","""• Mana from Automated Artificer's ability can be spent to activate any ability, including those activated from off the battlefield, such as ninjutsu or channel abilities.""","608282","239","","2023-Apr-10_04:56:07","USD","4869","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548552","2","$0.15","$0.30","2","2x","","b8c30ffb-b4f5-40b0-87b8-800a42bded2b","262696","","0"
"Bamboo Grove Archer","Green","{1}{G}","2","C","(Kamigawa: Neon Dynasty)","Enchantment Creature — Snake Archer","3","3","""Defender, reach
Channel — {4}{G}, Discard Bamboo Grove Archer: Destroy target creature with flying.""","0","Steve Prescott","""• Discarding the card is part of the cost to activate a channel ability.
• If a channel ability requires a target, you may not activate it without a target just to discard the card.""","607327","173","","2023-Feb-05_17:55:54","USD","3003","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548479","2","$0.14","$0.28","2","2x","","8b43bb9f-1b84-41cc-a4f9-5875ae6d207c","262188","","0"
"Bearer of Memory","Green","{2}{G}","3","C","(Kamigawa: Neon Dynasty)","Enchantment Creature — Human Monk","3","2","""{5}{G}: Put a +1/+1 counter on target enchantment creature. It gains trample until end of turn.""","0","Randy Vargas","""""","608251","174","","2023-Feb-05_17:56:09","USD","3004","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548480","1","$0.10","$0.10","1","1x","","540ba70a-bea8-4512-83ba-92dab6d25b52","262698","","0"
"Befriending the Moths // Imperial Moth","White","{3}{W}","4","C","(Kamigawa: Neon Dynasty)","Enchantment — Saga","0","0","""(As this Saga enters and after your draw step, add a lore counter.)
I, II — Target creature you control gets +1/+1 and gains flying until end of turn.
III — Exile this Saga, then return it to the battlefield transformed under your control.""","0","Matt Stewart","""• Each face of a transforming double-faced card has its own set of characteristics: name, types, subtypes, abilities, and so on. While a transforming double-faced permanent is on the battlefield, consider only the characteristics of the face that's currently up. The other set of characteristics is ignored.
• Each transforming double-faced card in this set is cast face up. In every zone other than the battlefield, consider only the characteristics of its front face. If it is on the battlefield, consider only the characteristics of the face that's up; the other face's characteristics are ignored.
• The mana value of a transforming double-faced card is the mana value of its front face, no matter which face is up.
• The back face of a transforming double-faced card usually has a color indicator that defines its color.
• A transforming double-faced card enters the battlefield with its front face up by default, unless a spell or ability instructs you to put it onto the battlefield transformed or you cast it transformed, in which case it enters with its back face up.
• If you are instructed to put a card that isn't a double-faced card onto the battlefield transformed, it will not enter the battlefield at all. In that case, it stays in the zone it was previously in. For example, if a single-faced card is a copy of Azusa's Many Journeys, the chapter III ability will cause it to be exiled and then remain in exile.""","607052","4","","2023-Feb-05_18:02:03","USD","3033","Kamigawa: Neon Dynasty","(NEO)","(neo)","NEO","[NEO]","[neo]","NEO","neo","","0","","Regular","Not Using","Have","","","Kamigawa Neon Dynasty 1/30/23","0","548294","3","$0.10","$0.30","3","3x","","8ad44884-ae0d-40ae-87a9-bad043d4e9ad","262183","","0"
